item,group,test,tier,seeds,verdicts,fired,bins,bins_unhit,unhit_list,witness_bins,witness_marked,hold,carve,status
TP-BIT-001,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,none,59,59,CG-BIT-011.cp_legal_insn.andn (not declared); CG-BIT-011.cp_legal_insn.bclr (not declared); CG-BIT-011.cp_legal_insn.bclri (not declared); CG-BIT-011.cp_legal_insn.bext (not declared); CG-BIT-011.cp_legal_insn.bexti (not declared); CG-BIT-011.cp_legal_insn.bfp (not declared); CG-BIT-011.cp_legal_insn.binv (not declared); CG-BIT-011.cp_legal_insn.binvi (not declared); CG-BIT-011.cp_legal_insn.bset (not declared); CG-BIT-011.cp_legal_insn.bseti (not declared); CG-BIT-011.cp_legal_insn.clmul (not declared); CG-BIT-011.cp_legal_insn.clmulh (not declared); CG-BIT-011.cp_legal_insn.clmulr (not declared); CG-BIT-011.cp_legal_insn.clz (not declared); CG-BIT-011.cp_legal_insn.cmix (not declared); CG-BIT-011.cp_legal_insn.cmov (not declared); CG-BIT-011.cp_legal_insn.cpop (not declared); CG-BIT-011.cp_legal_insn.crc32_b (not declared); CG-BIT-011.cp_legal_insn.crc32_h (not declared); CG-BIT-011.cp_legal_insn.crc32_w (not declared); CG-BIT-011.cp_legal_insn.crc32c_b (not declared); CG-BIT-011.cp_legal_insn.crc32c_h (not declared); CG-BIT-011.cp_legal_insn.crc32c_w (not declared); CG-BIT-011.cp_legal_insn.ctz (not declared); CG-BIT-011.cp_legal_insn.fsl (not declared); CG-BIT-011.cp_legal_insn.fsr (not declared); CG-BIT-011.cp_legal_insn.fsri (not declared); CG-BIT-011.cp_legal_insn.gorc (not declared); CG-BIT-011.cp_legal_insn.gorci (not declared); CG-BIT-011.cp_legal_insn.grev (not declared); CG-BIT-011.cp_legal_insn.grevi (not declared); CG-BIT-011.cp_legal_insn.max (not declared); CG-BIT-011.cp_legal_insn.maxu (not declared); CG-BIT-011.cp_legal_insn.min (not declared); CG-BIT-011.cp_legal_insn.minu (not declared); CG-BIT-011.cp_legal_insn.orn (not declared); CG-BIT-011.cp_legal_insn.pack (not declared); CG-BIT-011.cp_legal_insn.packh (not declared); CG-BIT-011.cp_legal_insn.packu (not declared); CG-BIT-011.cp_legal_insn.rol (not declared); CG-BIT-011.cp_legal_insn.ror (not declared); CG-BIT-011.cp_legal_insn.rori (not declared); CG-BIT-011.cp_legal_insn.sext_b (not declared); CG-BIT-011.cp_legal_insn.sext_h (not declared); CG-BIT-011.cp_legal_insn.sh1add (not declared); CG-BIT-011.cp_legal_insn.sh2add (not declared); CG-BIT-011.cp_legal_insn.sh3add (not declared); CG-BIT-011.cp_legal_insn.shfl (not declared); CG-BIT-011.cp_legal_insn.shfli (not declared); CG-BIT-011.cp_legal_insn.slo (not declared); CG-BIT-011.cp_legal_insn.sloi (not declared); CG-BIT-011.cp_legal_insn.sro (not declared); CG-BIT-011.cp_legal_insn.sroi (not declared); CG-BIT-011.cp_legal_insn.unshfl (not declared); CG-BIT-011.cp_legal_insn.unshfli (not declared); CG-BIT-011.cp_legal_insn.xnor (not declared); CG-BIT-011.cp_legal_insn.xperm_b (not declared); CG-BIT-011.cp_legal_insn.xperm_h (not declared); CG-BIT-011.cp_legal_insn.xperm_n (not declared),0,no,,,NOT-FIRED (no fire line: not built or not reached)
TP-BIT-002,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,71,2,CG-BIT-001.cr_op_rs1.sh1add_neg_rand (bins_not_hit); CG-BIT-001.cr_op_rs1.sh2add_neg_rand (bins_not_hit),0,no,,,UNHIT (2 of 71 bins)
TP-BIT-003,gen_bit_ratified,gen_test_bit_ratified,targeted,3,PASS,yes,99,24,CG-BIT-001.cp_same_regs.all_same (bins_not_hit); CG-BIT-001.cr_op_eq.pack_yes (bins_not_hit); CG-BIT-001.cr_op_eq.packh_yes (bins_not_hit); CG-BIT-001.cr_op_eq.packu_yes (bins_not_hit); CG-BIT-001.cr_op_same.andn_all_same (bins_not_hit); CG-BIT-001.cr_op_same.andn_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.max_all_same (bins_not_hit); CG-BIT-001.cr_op_same.maxu_all_same (bins_not_hit); CG-BIT-001.cr_op_same.maxu_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.min_all_same (bins_not_hit); CG-BIT-001.cr_op_same.minu_all_same (bins_not_hit); CG-BIT-001.cr_op_same.orn_all_same (bins_not_hit); CG-BIT-001.cr_op_same.orn_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.pack_all_same (bins_not_hit); CG-BIT-001.cr_op_same.pack_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.packh_all_same (bins_not_hit); CG-BIT-001.cr_op_same.packh_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.packu_all_same (bins_not_hit); CG-BIT-001.cr_op_same.packu_rs1_eq_rs2 (bins_not_hit); CG-BIT-001.cr_op_same.sh1add_all_same (bins_not_hit); CG-BIT-001.cr_op_same.sh2add_all_same (bins_not_hit); CG-BIT-001.cr_op_same.sh3add_all_same (bins_not_hit); CG-BIT-001.cr_op_same.xnor_all_same (bins_not_hit); CG-BIT-001.cr_op_same.xnor_rs1_eq_rs2 (bins_not_hit),0,no,,,UNHIT (24 of 99 bins)
TP-BIT-004,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,73,3,CG-BIT-001.cr_op_rs1.andn_neg_rand (bins_not_hit); CG-BIT-001.cr_op_rs1.orn_neg_rand (bins_not_hit); CG-BIT-001.cr_op_rs1.xnor_neg_rand (bins_not_hit),0,no,,,UNHIT (3 of 73 bins)
TP-BIT-005,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,51,0,,0,no,,,CREDITED
TP-BIT-006,gen_bit_ratified,gen_test_bit_ratified,targeted,3,PASS,yes,145,0,,0,no,,,CREDITED
TP-BIT-007,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,109,3,CG-BIT-001.cr_op_rs1.maxu_neg_rand (bins_not_hit); CG-BIT-001.cr_op_rs1.min_neg_rand (bins_not_hit); CG-BIT-001.cr_op_rs1.minu_neg_rand (bins_not_hit),0,no,,,UNHIT (3 of 109 bins)
TP-BIT-008,gen_bit_ratified,gen_test_bit_ratified,targeted,3,PASS,yes,65,3,CG-BIT-001.cr_op_eq.pack_yes (bins_not_hit); CG-BIT-001.cr_op_eq.packh_yes (bins_not_hit); CG-BIT-001.cr_op_eq.packu_yes (bins_not_hit),0,no,,,UNHIT (3 of 65 bins)
TP-BIT-009,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,6,0,,0,no,,,CREDITED
TP-BIT-010,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,22,1,CG-BIT-001.cr_op_rs1.zext_h_neg_rand (bins_not_hit),0,no,,,UNHIT (1 of 22 bins)
TP-BIT-011,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,83,83,CG-BIT-001.cp_op.pack; CG-BIT-001.cp_op.packh; CG-BIT-001.cp_op.packu; CG-BIT-001.cp_rs1_class.all_ones; CG-BIT-001.cp_rs1_class.byte_msb; CG-BIT-001.cp_rs1_class.e0000000; CG-BIT-001.cp_rs1_class.half_msb; CG-BIT-001.cp_rs1_class.int_max; CG-BIT-001.cp_rs1_class.int_min; CG-BIT-001.cp_rs1_class.neg_rand; CG-BIT-001.cp_rs1_class.one; CG-BIT-001.cp_rs1_class.pos_rand; CG-BIT-001.cp_rs1_class.zero; CG-BIT-001.cp_rs2_class.all_ones; CG-BIT-001.cp_rs2_class.int_max; CG-BIT-001.cp_rs2_class.int_min; CG-BIT-001.cp_rs2_class.neg_rand; CG-BIT-001.cp_rs2_class.one; CG-BIT-001.cp_rs2_class.pos_rand; CG-BIT-001.cp_rs2_class.zero; CG-BIT-001.cp_same_regs.all_same; CG-BIT-001.cp_same_regs.distinct; CG-BIT-001.cp_same_regs.rs1_eq_rs2; CG-BIT-001.cr_op_rs1.pack_all_ones; CG-BIT-001.cr_op_rs1.pack_byte_msb; CG-BIT-001.cr_op_rs1.pack_e0000000; CG-BIT-001.cr_op_rs1.pack_half_msb; CG-BIT-001.cr_op_rs1.pack_int_max; CG-BIT-001.cr_op_rs1.pack_int_min; CG-BIT-001.cr_op_rs1.pack_neg_rand; CG-BIT-001.cr_op_rs1.pack_one; CG-BIT-001.cr_op_rs1.pack_pos_rand; CG-BIT-001.cr_op_rs1.pack_zero; CG-BIT-001.cr_op_rs1.packh_all_ones; CG-BIT-001.cr_op_rs1.packh_byte_msb; CG-BIT-001.cr_op_rs1.packh_e0000000; CG-BIT-001.cr_op_rs1.packh_half_msb; CG-BIT-001.cr_op_rs1.packh_int_max; CG-BIT-001.cr_op_rs1.packh_int_min; CG-BIT-001.cr_op_rs1.packh_neg_rand; CG-BIT-001.cr_op_rs1.packh_one; CG-BIT-001.cr_op_rs1.packh_pos_rand; CG-BIT-001.cr_op_rs1.packh_zero; CG-BIT-001.cr_op_rs1.packu_all_ones; CG-BIT-001.cr_op_rs1.packu_byte_msb; CG-BIT-001.cr_op_rs1.packu_e0000000; CG-BIT-001.cr_op_rs1.packu_half_msb; CG-BIT-001.cr_op_rs1.packu_int_max; CG-BIT-001.cr_op_rs1.packu_int_min; CG-BIT-001.cr_op_rs1.packu_neg_rand; CG-BIT-001.cr_op_rs1.packu_one; CG-BIT-001.cr_op_rs1.packu_pos_rand; CG-BIT-001.cr_op_rs1.packu_zero; CG-BIT-001.cr_op_rs2.pack_all_ones; CG-BIT-001.cr_op_rs2.pack_int_max; CG-BIT-001.cr_op_rs2.pack_int_min; CG-BIT-001.cr_op_rs2.pack_neg_rand; CG-BIT-001.cr_op_rs2.pack_one; CG-BIT-001.cr_op_rs2.pack_pos_rand; CG-BIT-001.cr_op_rs2.pack_zero; CG-BIT-001.cr_op_rs2.packh_all_ones; CG-BIT-001.cr_op_rs2.packh_int_max; CG-BIT-001.cr_op_rs2.packh_int_min; CG-BIT-001.cr_op_rs2.packh_neg_rand; CG-BIT-001.cr_op_rs2.packh_one; CG-BIT-001.cr_op_rs2.packh_pos_rand; CG-BIT-001.cr_op_rs2.packh_zero; CG-BIT-001.cr_op_rs2.packu_all_ones; CG-BIT-001.cr_op_rs2.packu_int_max; CG-BIT-001.cr_op_rs2.packu_int_min; CG-BIT-001.cr_op_rs2.packu_neg_rand; CG-BIT-001.cr_op_rs2.packu_one; CG-BIT-001.cr_op_rs2.packu_pos_rand; CG-BIT-001.cr_op_rs2.packu_zero; CG-BIT-001.cr_op_same.pack_all_same; CG-BIT-001.cr_op_same.pack_distinct; CG-BIT-001.cr_op_same.pack_rs1_eq_rs2; CG-BIT-001.cr_op_same.packh_all_same; CG-BIT-001.cr_op_same.packh_distinct; CG-BIT-001.cr_op_same.packh_rs1_eq_rs2; CG-BIT-001.cr_op_same.packu_all_same; CG-BIT-001.cr_op_same.packu_distinct; CG-BIT-001.cr_op_same.packu_rs1_eq_rs2,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-014,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,13,10,CG-BIT-004.cp_bit25.b0 (not declared); CG-BIT-004.cp_grev_ctrl.c7 (not declared); CG-BIT-004.cp_op.gorci (not declared); CG-BIT-004.cp_operand.bytes_01020304 (not declared); CG-BIT-004.cp_operand.single_bit (not declared); CG-BIT-004.cr_op_operand.gorci_all_ones (not declared); CG-BIT-004.cr_op_operand.gorci_bytes_01020304 (not declared); CG-BIT-004.cr_op_operand.gorci_rand (not declared); CG-BIT-004.cr_op_operand.gorci_single_bit (not declared); CG-BIT-004.cr_op_operand.gorci_zero (not declared),0,no,,,UNHIT (10 of 13 bins)
